fold,feature,drop_F1
2,mnum:WC,0.0
2,mnum:Analytic,0.0
2,mnum:Clout,-0.019398241510042824
2,mnum:Authentic,0.0
2,mnum:Tone,0.019465394853593554
2,mnum:WPS,0.0
2,mnum:Sixltr,0.0
2,mnum:Dic,0.019465394853593554
2,mnum:function,0.0
2,mnum:pronoun,0.0
2,mnum:ppron,0.0
2,mnum:i,0.0
2,mnum:we,0.0
2,mnum:you,0.0
2,mnum:shehe,0.0
2,mnum:they,0.0
2,mnum:ipron,0.0
2,mnum:article,0.0
2,mnum:prep,0.0
2,mnum:auxverb,0.0
2,mnum:adverb,0.0
2,mnum:conj,0.0
2,mnum:negate,0.0
2,mnum:verb,0.0
2,mnum:adj,0.0
2,mnum:compare,0.0
2,mnum:interrog,0.0
2,mnum:number,0.0
2,mnum:quant,0.0
2,mnum:affect,-0.019398241510042824
2,mnum:posemo,-0.019398241510042824
2,mnum:negemo,0.0
2,mnum:anx,0.0
2,mnum:anger,0.0
2,mnum:sad,0.0
2,mnum:social,0.0
2,mnum:family,0.0
2,mnum:friend,0.0
2,mnum:female,0.0
2,mnum:male,0.0
2,mnum:cogproc,0.0
2,mnum:insight,0.0
2,mnum:cause,0.0
2,mnum:discrep,0.0
2,mnum:tentat,0.0
2,mnum:certain,0.0
2,mnum:differ,0.0
2,mnum:percept,0.0
2,mnum:see,0.0
2,mnum:hear,0.0
2,mnum:feel,0.0
2,mnum:bio,0.0
2,mnum:body,0.0
2,mnum:health,0.0
2,mnum:sexual,0.0
2,mnum:ingest,0.0
2,mnum:drives,0.0
2,mnum:affiliation,0.0
2,mnum:achieve,0.0
2,mnum:power,0.0
2,mnum:reward,0.0
2,mnum:risk,0.0
2,mnum:focuspast,0.0
2,mnum:focuspresent,0.0
2,mnum:focusfuture,0.0
2,mnum:relativ,0.0
2,mnum:motion,0.0
2,mnum:space,0.0
2,mnum:time,0.0
2,mnum:work,0.0
2,mnum:leisure,0.0
2,mnum:home,0.0
2,mnum:money,0.0
2,mnum:relig,0.0
2,mnum:death,0.0
2,mnum:informal,0.0
2,mnum:swear,0.0
2,mnum:netspeak,0.0
2,mnum:assent,0.0
2,mnum:nonflu,0.0
2,mnum:filler,0.0
2,mnum:AllPunc,0.0
2,mnum:Period,0.0
2,mnum:Comma,0.0
2,mnum:Colon,0.0
2,mnum:SemiC,0.0
2,mnum:QMark,0.0
2,mnum:Exclam,0.0
2,mnum:Dash,0.0
2,mnum:Quote,0.0
2,mnum:Apostro,0.0
2,mnum:Parenth,0.0
2,mnum:OtherP,0.0
