user_id,text,LABEL
82112948.0,rt to #voicesaveadam,0
82112948.0,adulting is hard.,0
82112948.0,nothing a good pair of pearl earrings can't fix.,0
82112948.0,finally a plumber that knows how to plumb,0
82112948.0,last day with lifetouch. bittersweet.,0
82112948.0,my new job is fantastic 😁🎥📷,0
82112948.0,my cat barks.,0
82112948.0,life today man. life.,0
82112948.0,i need ear plugs. if only they would stop talking....,0
82112948.0,just wanna stay in bed all day. wishing clothes folded themselves...,0
82112948.0,i has the twitter....,0
82112948.0,just watched the jonah video. superrrrr sad story,0
82112948.0,@nbcgrimm how do i watch the pilot episode right away!?,0
82112948.0,twitter....yeahh,0
82112948.0,yeahhh what is the eclipse title treatment....?,0
82112948.0,just got back from trishas bridalshower. long drive. and i'm like super tired.,0
82112948.0,waking up to a very long dayyy,0
82112948.0,home from a late night at work at kohls where the sales never freaking end.,0
82112948.0,should be doing her homework...,0
82112948.0,just made a twitter.,0
1.02e+18,official website @l_vgas @doneizzy2 @krufus6 @kklttrust @standamericas @7daysontop @rayslow2 @monsur_ahmed95 @jeffers74158775 @n_maineminerals,1
1.02e+18,official website @l_vgas @doneizzy2 @krufus6 @kklttrust @standamericas @7daysontop @rayslow2 @monsur_ahmed95 @jeffers74158775 @n_maineminerals,1
1.02e+18,official website @l_vgas @krufus6 @kklttrust @bubbles5555555 @7daysontop @rayslow2 @jeffers74158775 @n_maineminerals @illuminatiamam1 @youngmusicgod,1
1.02e+18,seize the time @l_vgas @krufus6 @kklttrust @bubbles5555555 @7daysontop @rayslow2 @jeffers74158775 @n_maineminerals @illuminatiamam1 @youngmusicgod,1
1.02e+18,i have a question for @berniesanders about reproductive justice: where do you stand on abortion? mainly late term abortion! should there be limitations on said abortions? what are your views? #rightsforall,1
1.02e+18,,1
1.02e+18,you know when someone u kinda kno gets shot down outside ur local walmart it rlly makes u think 🤔 how lucky u r to jus be alive!!!! #thought #notthesame #worldonfire #gangvilonce #smalltown,1
1.02e+18,sign &amp; share: tell @albertsons to follow the lead of @kroger and #banthebag @sierrarise,1
1.02e+18,,1
1.02e+18,smoking chillin wit my best friend!! she’s always there no matter wat!!! i love my jewels!! #humansbestfriend,1
1.02e+18,bizarre reddish planet shaped object captured below our moon | via @disclosetv #aliens,1
1.02e+18,this company is laying off almost all its workers because of tariffs - cnnmoney,1
1.02e+18,attack of legionary ants (also known as army ants or marabunta) to a wasp honeycomb | via @disclosetv #nature,1
1.02e+18,#fuckingbored,1
1.02e+18,the longest lunar eclipse of the century will happen this friday,1
1.02e+18,who had you rather have for president? that’s the question you have to ask when we talk impeachment!,1
1.02e+18,,1
1.15e+18,@blobtower definite deyarmond edison vibes on marion,1
1.15e+18,spiders are just crabs who can’t swim,1
1.15e+18,millie bobby is underpaid,1
1.15e+18,is ryan gosling getting brendan frazier’d?,1
1.15e+18,is no one else concerned about what happened to ryan gosling?,1
